"","gene","TCGA","AUS","CA","TCGA2","AUS2","CA2","sum","abs"
"11014","ENSG00000180730",-0.0198037889786375,-0.201915146114286,-0.129707128759939,-1,-1,-1,-3,3
"11030","ENSG00000180901",0.0577770988782369,0.0581482922321435,0.00115115824499235,1,1,1,3,3
"11036","ENSG00000180957",0.0349742830576769,0.0252128101714284,0.0617871265938366,1,1,1,3,3
"11037","ENSG00000180964",-0.0451941446624833,-0.123673124264286,-0.239732894098613,-1,-1,-1,-3,3
"11041","ENSG00000181007",0.220056106545794,0.0500731339964289,0.44886974951926,1,1,1,3,3
"11042","ENSG00000181016",0.0124561261767691,0.564539705807143,0.0918273006080121,1,1,1,3,3
"11043","ENSG00000181019",-0.0867417065214955,-0.075332122503573,-0.152606268487828,-1,-1,-1,-3,3
"11048","ENSG00000181038",0.0104669502942594,0.0132367108285711,0.158663029514329,1,1,1,3,3
"11049","ENSG00000181045",0.0220312438536716,0.1887292269,0.329566548094299,1,1,1,3,3
"11050","ENSG00000181061",-0.168149124611749,-0.0522198749214287,-0.0131037782677965,-1,-1,-1,-3,3
"11071","ENSG00000181396",-0.0427141161495328,-0.034485276510714,-0.00316037438366745,-1,-1,-1,-3,3
"11073","ENSG00000181444",-0.214399006764219,-0.365889772339286,-0.263881856346996,-1,-1,-1,-3,3
"11077","ENSG00000181472",0.129480767070227,0.0301541112892858,0.0279320919306629,1,1,1,3,3
"11080","ENSG00000181523",0.0232564139522031,0.0846157159607142,0.181873278212943,1,1,1,3,3
"11085","ENSG00000181588",-0.0774947722197599,-0.0230255633500001,-0.155415186159322,-1,-1,-1,-3,3
"11087","ENSG00000181619",0.0859505396184245,0.201717486453572,0.0117460630955315,1,1,1,3,3
"11088","ENSG00000181634",0.493762270505474,0.0605536517035716,0.442312258133744,1,1,1,3,3
"11089","ENSG00000181649",-0.503736574576769,-0.20150256,-0.352006693501079,-1,-1,-1,-3,3
"11096","ENSG00000181751",-0.111054015567156,-0.0199977296464287,-0.0206961381503854,-1,-1,-1,-3,3
"11102","ENSG00000181817",-0.0384007513799736,-0.155494493760714,-0.0433748861201848,-1,-1,-1,-3,3
"11103","ENSG00000181826",-0.20121814176956,-0.126548112428572,-0.0730109245134045,-1,-1,-1,-3,3
"11105","ENSG00000181830",-0.133277185712684,-0.104565345957143,-0.04764027732943,-1,-1,-1,-3,3
"11112","ENSG00000181915",-0.0162852007628835,-0.177673995675001,-0.0128511204628659,-1,-1,-1,-3,3
"11126","ENSG00000182117",-0.106058276393324,-0.117586744182143,-0.116711849722651,-1,-1,-1,-3,3
"11130","ENSG00000182149",-0.00291929277943836,-0.0639623577035717,-0.138356295637905,-1,-1,-1,-3,3
"11132","ENSG00000182154",-0.227489984278238,-0.212836246496428,-0.132233833894607,-1,-1,-1,-3,3
"11153","ENSG00000182287",0.126599866808011,0.0380028278142861,0.0651410135121724,1,1,1,3,3
"11155","ENSG00000182318",0.0398124596002667,0.151314378492858,0.0418421550955319,1,1,1,3,3
"11160","ENSG00000182362",-0.171308156678238,-0.0229146350535712,-0.229953893867489,-1,-1,-1,-3,3
"11166","ENSG00000182463",0.141842359570894,0.00568262466785718,0.142399742555624,1,1,1,3,3
"11168","ENSG00000182473",0.0134364935399205,0.0387064407607145,0.039643881349769,1,1,1,3,3
"11173","ENSG00000182511",0.0613539666277703,0.184790447742857,0.0500490953473038,1,1,1,3,3
"11180","ENSG00000182552",-0.032369845235781,-0.101493215417857,-0.0665131620773494,-1,-1,-1,-3,3
"11188","ENSG00000182628",-0.124009885238986,-0.233277234285715,-0.0041286101704161,-1,-1,-1,-3,3
"11194","ENSG00000182704",-0.0411151875666222,-0.0200741008357141,-0.0497894439460707,-1,-1,-1,-3,3
"11205","ENSG00000182809",-0.124494226468357,-0.0213194431749999,-0.286961989912481,-1,-1,-1,-3,3
"11222","ENSG00000182952",0.0102690908242993,0.0505055535071426,0.109023590524807,1,1,1,3,3
"11223","ENSG00000182957",0.390565323183711,0.285181361667857,0.116706757982127,1,1,1,3,3
"11228","ENSG00000182985",-0.0231975210280373,-0.180702415839286,-0.122754257001232,-1,-1,-1,-3,3
"11235","ENSG00000183044",-0.00529858584592802,-0.018968984871429,-0.158674631871494,-1,-1,-1,-3,3
"11237","ENSG00000183049",0.370848992546595,0.127313725882143,0.00799759477935291,1,1,1,3,3
"11242","ENSG00000183077",0.0339332665241656,0.0319389348714285,0.00973135413929072,1,1,1,3,3
"11262","ENSG00000183337",0.0770212866771693,0.0296553172571432,0.00139545542280395,1,1,1,3,3
"11263","ENSG00000183340",-0.0211498793559413,-0.0377890178964284,-0.240073488481664,-1,-1,-1,-3,3
"11264","ENSG00000183347",-0.0426651276550067,-0.222490621653571,-0.4173387617849,-1,-1,-1,-3,3
"11270","ENSG00000183431",-0.0358917327465953,-0.0394060713821434,-0.0476010865664094,-1,-1,-1,-3,3
"11272","ENSG00000183474",-0.0485809109108146,-0.0166967920964289,-0.0939683840588597,-1,-1,-1,-3,3
"11279","ENSG00000183513",-0.0192769181749002,-0.053424651146428,-0.00867376052172553,-1,-1,-1,-3,3
"11280","ENSG00000183520",-0.0124973702694255,-0.134825571239285,-0.0286971239038518,-1,-1,-1,-3,3
"11283","ENSG00000183569",0.0689332977110815,0.108577878171429,0.0741070163041604,1,1,1,3,3
"11285","ENSG00000183578",0.2510109344996,0.151359168671429,0.0129698499395994,1,1,1,3,3
"11286","ENSG00000183579",0.0854740996157544,0.143496677846429,0.0720026089081669,1,1,1,3,3
"11290","ENSG00000183617",-0.169296417448331,-0.192224699589286,-0.160144690665023,-1,-1,-1,-3,3
"11292","ENSG00000183624",-0.128402975055541,-0.103877547003572,-0.0101993013522348,-1,-1,-1,-3,3
"11293","ENSG00000183628",0.0274725116833112,0.0714427875535715,0.0693545594036977,1,1,1,3,3
"11297","ENSG00000183655",-0.032362912066489,-0.117802957971429,-0.0907006363235752,-1,-1,-1,-3,3
"11307","ENSG00000183726",0.0457055877383183,0.0574770610892861,0.0724319382560861,1,1,1,3,3
"11308","ENSG00000183735",-0.000861596841388312,-0.154616399260714,-0.101902449627735,-1,-1,-1,-3,3
"11312","ENSG00000183762",0.192720055293726,0.102818445607143,0.145026367733128,1,1,1,3,3
"11322","ENSG00000183826",-0.0624406672675573,-0.0058003073571431,-0.0453564161013871,-1,-1,-1,-3,3
"11328","ENSG00000183864",0.140684775639786,0.16544087815,0.0412168280215717,1,1,1,3,3
"11331","ENSG00000183878",-0.456678827592791,-0.399542170339286,-0.0731824131694916,-1,-1,-1,-3,3
"11335","ENSG00000183955",-0.0284008626077439,-0.126403496910714,-0.237249286240986,-1,-1,-1,-3,3
"11363","ENSG00000184208",0.0165259369855804,0.226838314485714,0.175154530654854,1,1,1,3,3
"11374","ENSG00000184292",-0.19501950006649,-0.0530102791428568,-0.521347411840678,-1,-1,-1,-3,3
"11375","ENSG00000184304",0.139903777243258,0.00107592854285699,0.341277954217566,1,1,1,3,3
"11383","ENSG00000184368",0.117382962400801,0.534556484464286,0.00348920678305076,1,1,1,3,3
"11395","ENSG00000184454",0.156465800375167,0.297545603678572,0.0846773039241908,1,1,1,3,3
"11406","ENSG00000184564",-0.0562780913711616,-0.510523777185715,-0.611941943509399,-1,-1,-1,-3,3
"11415","ENSG00000184640",-0.026306089617357,-0.0363870315535699,-0.0856713149596295,-1,-1,-1,-3,3
"11426","ENSG00000184752",-0.105512414391989,-0.0834594176857149,-0.0860510801885983,-1,-1,-1,-3,3
"11435","ENSG00000184860",-0.0902887898894518,-0.087777459382143,-0.278348799738983,-1,-1,-1,-3,3
"11441","ENSG00000184900",-0.00555622608758366,-0.0733410253107136,-0.0236763491849006,-1,-1,-1,-3,3
"11443","ENSG00000184916",-0.0801599527396535,-0.459396931839286,-0.0163901400218798,-1,-1,-1,-3,3
"11449","ENSG00000184956",0.547428359912149,0.862608331271429,0.182159876499538,1,1,1,3,3
"11450","ENSG00000184967",-0.165886549872096,-0.221940461128572,-0.0251782989793528,-1,-1,-1,-3,3
"11451","ENSG00000184979",0.0433015061516695,0.103156162478571,0.164205183644992,1,1,1,3,3
"11458","ENSG00000185002",-0.478568689117223,-0.343045436032143,-0.385289045375963,-1,-1,-1,-3,3
"11459","ENSG00000185008",-0.147490634477436,-0.183748493564286,-0.0334632922240368,-1,-1,-1,-3,3
"11460","ENSG00000185009",-0.00414911722536715,-0.157625779821429,-0.0175414240711866,-1,-1,-1,-3,3
"11467","ENSG00000185043",-0.188486524543391,-0.00140549953571423,-0.11383544905393,-1,-1,-1,-3,3
"11469","ENSG00000185052",0.028390243689719,0.0522622388142855,0.178022873571341,1,1,1,3,3
"11473","ENSG00000185090",-0.0565331494640855,-0.303013238707143,-0.136364339484129,-1,-1,-1,-3,3
"11482","ENSG00000185133",0.041373730141522,0.233880825332143,0.216438940507242,1,1,1,3,3
"11485","ENSG00000185163",-0.0731878154160217,-0.0447543231892853,-0.119967021238521,-1,-1,-1,-3,3
"11491","ENSG00000185220",0.0773666462635516,0.0167141387321426,0.0196760558246538,1,1,1,3,3
"11492","ENSG00000185222",-0.0454660849871837,-0.0975406766892855,-0.233402895892142,-1,-1,-1,-3,3
"11494","ENSG00000185238",-0.0325059343636847,-0.184834208735714,-0.00261365479722642,-1,-1,-1,-3,3
"11502","ENSG00000185298",-0.0287393773161551,-0.0194234673428566,-0.013731206546379,-1,-1,-1,-3,3
"11509","ENSG00000185344",-0.0726510673423233,-0.037160431907143,-0.144609654082281,-1,-1,-1,-3,3
"11513","ENSG00000185361",0.0373860166347129,0.168102872928571,0.291443874105085,1,1,1,3,3
"11521","ENSG00000185436",0.224381878724967,0.51069706255,0.0259482838123266,1,1,1,3,3
"11525","ENSG00000185477",0.392859835909213,0.0729304111214288,0.498667819403082,1,1,1,3,3
"11526","ENSG00000185479",-0.539353582941522,-0.839510504632143,-0.434609909319261,-1,-1,-1,-3,3
"11542","ENSG00000185615",0.517640826171696,0.438588995064286,0.509687959939599,1,1,1,3,3
"11551","ENSG00000185658",0.00131988108678271,0.157980957939285,0.00342392996918228,1,1,1,3,3
"11558","ENSG00000185722",0.0485687458974633,0.00890024522499999,0.0315913194194142,1,1,1,3,3
"11560","ENSG00000185730",-0.0347547566368496,-0.0382254400500002,-0.235074928339908,-1,-1,-1,-3,3
"11570","ENSG00000185811",0.302779090880641,0.126353799371429,0.125988785501387,1,1,1,3,3
"11578","ENSG00000185875",0.0854755790336452,0.276895433035715,0.0635734012480742,1,1,1,3,3
"11579","ENSG00000185880",0.0232802633660881,0.0785706244357138,0.0186432803882899,1,1,1,3,3
"11589","ENSG00000185950",0.0916285711060079,0.578525833489286,0.0324518992342062,1,1,1,3,3
"11600","ENSG00000186073",-0.104084494976235,-0.157112471378571,-0.0245438735167944,-1,-1,-1,-3,3
"11604","ENSG00000186094",-0.118495558890254,-0.0995558062214285,-0.297332113800616,-1,-1,-1,-3,3
"11608","ENSG00000186111",-0.0421000965978644,-0.043600177339286,-0.072930239211094,-1,-1,-1,-3,3
